data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
20 0.03 40 200 96 33 48000 38398 57602
20 0.03 40 200 96 24.64 48000 38398 57602
20 0.03 40 200 96 18.39787 48000 38398 57602
20 0.03 40 200 96 13.73707 1600 1280 1920
20 0.03 40 200 96 14.50635 3200 2559 3841
20 0.03 40 200 96 15.16397 4800 3839 5761
20 0.03 40 200 96 15.68966 48000 38398 57602
20 0.03 40 200 96 11.71494 738 590 886
20 0.03 40 200 96 12.4383 9600 7679 11521
20 0.03 40 200 384 12.4383 1129 1016 1242
20 0.03 40 200 384 12.8061 1829 1646 2012
20 0.03 40 200 384 13.1549 2560 2304 2816
20 0.03 40 200 384 13.48114 4267 3840 4694
20 0.03 40 200 384 13.73876 2954 2658 3250
20 0.03 40 200 384 14.06144 3200 2879 3521
20 0.03 40 200 384 14.38017 6400 5759 7041
20 0.03 40 200 384 14.55273 7680 6911 8449
20 0.03 40 200 384 14.66527 19200 17279 21121
20 0.03 40 200 384 14.21554 5486 4937 6035
20 0.03 40 200 384 14.42943 12800 11519 14081
20 0.03 40 200 384 14.29476 7680 6911 8449
20 0.03 40 200 384 14.4053 6400 5759 7041
20 0.03 40 200 384 14.57817 4800 4319 5281
20 0.03 40 200 384 14.83086 7680 6911 8449
20 0.03 40 200 384 14.94555 6400 5759 7041
20 0.03 40 200 384 15.12489 12800 11519 14081
20 0.03 40 200 384 14.98373 7680 6911 8449
20 0.03 40 200 384 15.0996 38400 34559 42241
20 0.03 40 200 384 13.67017 3200 2879 3521
20 0.03 40 200 384 13.98003 4800 4319 5281
20 0.03 40 200 384 14.22235 3491 3141 3841
20 0.03 40 200 384 14.53093 3840 3455 4225
20 0.03 40 200 384 14.8293 9600 8639 10561
20 0.03 40 200 1537 14.8293 8089 7684 8494
20 0.03 40 200 1537 14.87653 6148 5840 6456
20 0.03 40 200 1537 14.97204 15370 14601 16139
20 0.03 40 200 1537 14.83804 8089 7684 8494
20 0.03 40 200 1537 14.88529 7685 7300 8070
20 0.03 40 200 1537 14.94273 11823 11231 12415
20 0.03 40 200 1537 14.89733 10979 10430 11528
20 0.03 40 200 1537 14.87302 5912 5616 6208
20 0.03 40 200 1537 14.97435 9606 9125 10087
20 0.03 40 200 6146 14.97435 8907 8684 9130
20 0.03 40 200 6146 14.98799 13361 13026 13696
20 0.03 40 200 6146 14.94601 10597 10332 10862
20 0.03 40 200 6146 14.93858 10782 10512 11052
20 0.03 40 200 6146 14.92884 14293 13935 14651
20 0.03 40 200 6146 14.87544 8419 8208 8630
20 0.03 40 200 6146 14.89503 5165 5035 5295
20 0.03 40 200 6146 14.95505 8419 8208 8630
20 0.03 40 200 6146 14.97475 9756 9512 10000
